# target_x=0
x,theta,motor,clamped
0,0.05,0.16173746,0
0,0.05,0.14090125,0
0.00061674026,0.049369924,0.12352261,0
0.0017689245,0.04823156,0.10689339,0
0.00338893,0.0466825,0.092640854,0
0.005412205,0.044812728,0.08006983,0
0.007783587,0.04269576,0.06894765,0
0.010454566,0.04039326,0.059076566,0
0.013382355,0.037956867,0.05028946,0
0.016529098,0.03542976,0.042444132,0
0.019861208,0.032847937,0.035419747,0
0.023348797,0.030241324,0.029496972,0
0.026965195,0.027634712,0.024332933,0
0.030688038,0.025046298,0.019587759,0
0.03449792,0.022489846,0.015216298,0
0.038377065,0.019976787,0.011180158,0
0.04230915,0.017516572,0.0074772956,0
0.04627914,0.015116965,0.004636269,0
0.05027329,0.012784115,0.001488246,0
0.054281205,0.01051951,-0.0016021961,0
0.05829126,0.008326856,-0.004488915,0
0.06229205,0.0062099565,-0.007183305,0
0.06627294,0.0041718725,-0.00969518,0
0.07022401,0.0022150206,-0.0120333275,0
0.07413605,0.00034124462,-0.014205877,0
0.07800049,-0.0014481158,-0.016219845,0
0.08180941,-0.0031521665,-0.018081902,0
0.08555544,-0.00477041,-0.019798012,0
0.08923181,-0.0063026985,-0.021374056,0
0.09283229,-0.0077492,-0.022815097,0
0.09635116,-0.009110358,-0.024126405,0
0.09978323,-0.010386866,-0.025312692,0
0.103123754,-0.011579639,-0.026378572,0
0.106368475,-0.012689791,-0.027328553,0
0.10951357,-0.01371861,-0.028167002,0
0.11255567,-0.014667544,-0.028898098,0
0.11549178,-0.015538178,-0.029526152,0
0.11831932,-0.016332224,-0.030055173,0
0.1210361,-0.017051501,-0.030489122,0
0.12364027,-0.017697925,-0.030832019,0
0.12613036,-0.018273497,-0.031087916,0
0.1285052,-0.018780291,-0.031129636,0
0.13076396,-0.019220442,-0.03056259,0
0.13290663,-0.019596906,-0.030086886,0
0.13493554,-0.01991578,-0.029679708,0
0.13685267,-0.020182224,-0.029321527,0
0.13865969,-0.020400634,-0.028913379,0
0.14035808,-0.020574788,-0.028551256,0
0.14194947,-0.020708453,-0.028221779,0
0.14343536,-0.020804849,-0.027914414,0
0.14481705,-0.020866746,-0.027620487,0
0.14609578,-0.020896552,-0.027333427,0
0.1472727,-0.020896379,-0.027047995,0
0.14834897,-0.020868093,-0.02676011,0
0.14932567,-0.020813365,-0.026515407,0
0.15020393,-0.0207337,-0.026122466,0
0.15098469,-0.020630185,-0.025692657,0
0.15166946,-0.020504616,-0.02528195,0
0.15225987,-0.020358857,-0.024884954,0
0.15275751,-0.020194517,-0.024496906,0
0.15316388,-0.020013,-0.02411434,0
0.15348044,-0.019815542,-0.023915974,0
0.15370864,-0.019603232,-0.024034323,0
0.15384918,-0.019375987,-0.024031406,0
0.15390156,-0.019131774,-0.023922555,0
0.15386572,-0.018869177,-0.023782708,0
0.15374202,-0.01858729,-0.023661107,0
0.15353091,-0.018285273,-0.023432102,0
0.1532328,-0.01796206,-0.023108555,0
0.1528485,-0.017617086,-0.022701744,0
0.15237917,-0.017250203,-0.022221755,0
0.1518263,-0.016861614,-0.02167751,0
0.15119167,-0.016451815,-0.021077104,0
0.15047728,-0.016021537,-0.020427749,0
0.14968534,-0.015571708,-0.019736037,0
0.14881828,-0.015103413,-0.019007822,0
0.14787868,-0.014617861,-0.018189121,0
0.14686923,-0.01411636,-0.017359722,0
0.14579299,-0.013600635,-0.016524553,0
0.14465305,-0.013072378,-0.015685376,0
0.14345254,-0.012533221,-0.014843565,0
0.14219455,-0.011984743,-0.014000925,0
0.14088224,-0.011428468,-0.013158852,0
0.13951872,-0.010865866,-0.012318937,0
0.13810714,-0.010298357,-0.011482721,0
0.13665059,-0.009727306,-0.010651323,0
0.13515219,-0.009154026,-0.009826386,0
0.13361502,-0.008579781,-0.009080665,0
0.13204212,-0.008005781,-0.008355201,0
0.13043626,-0.007432767,-0.0076174187,0
0.12880008,-0.006861364,-0.0068713846,0
0.1271363,-0.006292274,-0.0061206464,0
0.12544768,-0.005726259,-0.005368379,0
0.12373697,-0.005164122,-0.0046177143,0
0.12200696,-0.004606695,-0.0038713086,0
